"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
KU812,LCML,blood,chronic_myeloid_leukaemia,0.001524,0.093358
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.002334,0.082343
ALL-SIL,ALL,blood,T_cell_leukemia,0.002386,0.099897
MEG-01,LCML,blood,chronic_myeloid_leukaemia,0.002518,0.132004
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,0.003020,0.117572
CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.005755,0.181547
BV-173,LCML,blood,chronic_myeloid_leukaemia,0.008642,0.243183
KCL-22,LCML,blood,chronic_myeloid_leukaemia,0.019598,0.342262
EM-2,LCML,blood,chronic_myeloid_leukaemia,0.027054,0.384506
K-562,LCML,blood,chronic_myeloid_leukaemia,0.031933,0.411218
KASUMI-1,LAML,blood,acute_myeloid_leukaemia,0.058934,0.269953
GDM-1,LAML,blood,acute_myeloid_leukaemia,0.245664,0.671686
BE-13,ALL,blood,lymphoblastic_leukemia,0.499833,0.758472
HT,DLBC,blood,B_cell_lymphoma,0.545433,0.563947
SUP-B15,ALL,blood,lymphoblastic_leukemia,0.636276,0.811949
CTB-1,DLBC,blood,B_cell_lymphoma,0.825601,0.612886
OACM5-1,ESCA,aero_digestive_tract,oesophagus,0.915073,0.786479
Raji,UNCLASSIFIED,blood,Burkitt_lymphoma,0.970245,0.847097
NCI-H1703,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.997657,0.814386
G-402,UNCLASSIFIED,soft_tissue,soft_tissue_other,1.230229,0.815943
LC4-1,ALL,blood,lymphoblastic_leukemia,1.242074,0.871003
DB,DLBC,blood,B_cell_lymphoma,1.297901,0.845469
DU-4475,BRCA,breast,breast,1.417183,0.763180
OCI-LY7,DLBC,blood,B_cell_lymphoma,1.431285,0.711926
SUP-B8,UNCLASSIFIED,blood,B_cell_leukemia,1.485710,0.717375
CTV-1,LAML,blood,acute_myeloid_leukaemia,1.493672,0.903673
EVSA-T,BRCA,breast,breast,1.508714,0.761852
GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,1.581872,0.876276
HMV-II,SKCM,skin,melanoma,1.635974,0.826286
ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,1.766139,0.890694
SU-DHL-5,DLBC,blood,B_cell_lymphoma,1.792878,0.940704
OCI-M1,LAML,blood,acute_myeloid_leukaemia,1.849591,0.909619
RL,DLBC,blood,B_cell_lymphoma,2.050808,0.738829
KMOE-2,LAML,blood,acute_myeloid_leukaemia,2.079420,0.905528
SU-DHL-10,DLBC,blood,B_cell_lymphoma,2.085881,0.937146
IM-9,MM,blood,myeloma,2.094802,0.918376
JVM-3,CLL,blood,lymphoid_neoplasm_other,2.113548,0.893833
KP-N-RT-BM-1,NB,nervous_system,neuroblastoma,2.289528,0.737949
ML-2,LAML,blood,acute_myeloid_leukaemia,2.314710,0.920040
CHSA0011,UNCLASSIFIED,bone,chondrosarcoma,2.364772,0.713888
HCC2157,BRCA,breast,breast,2.401140,0.912996
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,2.417935,0.942970
COLO-320-HSR,COREAD,digestive_system,large_intestine,2.422932,0.910468
RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,2.440672,0.931857
SK-HEP-1,LIHC,digestive_system,liver,2.484612,0.888266
ALL-PO,ALL,blood,lymphoblastic_leukemia,2.537739,0.933254
VAL,DLBC,blood,B_cell_lymphoma,2.616516,0.903738
MOLM-13,LAML,blood,acute_myeloid_leukaemia,2.641105,0.944575
OVCAR-8,OV,urogenital_system,ovary,2.684665,0.913604
BFTC-909,KIRC,kidney,kidney,2.817315,0.899907
SU-DHL-6,DLBC,blood,B_cell_lymphoma,2.861662,0.952403
P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,2.874400,0.966206
K2,SKCM,skin,melanoma,2.874600,0.743512
HSC-39,STAD,digestive_system,stomach,2.888899,0.949109
TALL-1,ALL,blood,lymphoblastic_T_cell_leukaemia,2.897697,0.780411
OCI-AML3,LAML,blood,acute_myeloid_leukaemia,2.904150,0.916099
NKM-1,LAML,blood,acute_myeloid_leukaemia,2.920350,0.904768
KARPAS-1106P,DLBC,blood,B_cell_lymphoma,3.037002,0.932793
RS4-11,ALL,blood,leukemia,3.063356,0.944872
Hs-578-T,BRCA,breast,breast,3.152696,0.800068
A2780,UNCLASSIFIED,urogenital_system,ovary,3.222600,0.890117
SU-DHL-4,DLBC,blood,B_cell_lymphoma,3.319672,0.816049
MY-M12,ALL,blood,leukemia,3.424277,0.818154
WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,3.457422,0.933510
CESS,LAML,blood,acute_myeloid_leukaemia,3.483661,0.933429
A4-Fuk,DLBC,blood,B_cell_lymphoma,3.489545,0.933910
KY821,LAML,blood,leukemia,3.494046,0.940120
G-MEL,SKCM,skin,melanoma,3.531867,0.812109
ES7,UNCLASSIFIED,bone,ewings_sarcoma,3.554096,0.921182
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,3.559149,0.960083
NCI-H929,MM,blood,myeloma,3.593960,0.935283
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,3.644198,0.957085
MC116,DLBC,blood,B_cell_lymphoma,3.730986,0.841284
ES1,UNCLASSIFIED,bone,ewings_sarcoma,3.764571,0.928353
A3-KAW,DLBC,blood,B_cell_lymphoma,3.792813,0.959096
HAL-01,ALL,blood,lymphoblastic_leukemia,3.840625,0.947106
NCI-H446,SCLC,lung,lung_small_cell_carcinoma,3.993871,0.922803
NB13,NB,nervous_system,neuroblastoma,3.997653,0.931801
LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,4.013139,0.941038
Ramos-2G6-4C10,UNCLASSIFIED,blood,Burkitt_lymphoma,4.088190,0.974325
DOV13,OV,urogenital_system,ovary,4.095728,0.928542
LNCaP-Clone-FGC,PRAD,urogenital_system,prostate,4.179266,0.902509
ARH-77,MM,blood,myeloma,4.217011,0.943026
NB4,LAML,blood,acute_myeloid_leukaemia,4.220084,0.850733
769-P,KIRC,kidney,kidney,4.230704,0.904806
NOS-1,UNCLASSIFIED,bone,osteosarcoma,4.251803,0.929457
KYSE-150,ESCA,aero_digestive_tract,oesophagus,4.269265,0.910536
U031,KIRC,kidney,kidney,4.270626,0.799847
JSC-1,DLBC,blood,B_cell_lymphoma,4.272826,0.946295
P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,4.339980,0.957674
L-363,MM,blood,myeloma,4.353939,0.967408
BEN,UNCLASSIFIED,lung,lung_NSCLC_not_specified,4.397947,0.768714
JVM-2,CLL,blood,lymphoid_neoplasm_other,4.403809,0.915057
WM35,SKCM,skin,melanoma,4.414839,0.909305
RC-K8,DLBC,blood,B_cell_lymphoma,4.464018,0.918624
NB17,NB,nervous_system,neuroblastoma,4.476228,0.830262
SCC-3,DLBC,blood,B_cell_lymphoma,4.477112,0.964958
KE-37,ALL,blood,lymphoblastic_leukemia,4.484852,0.970191
Hs-939-T,SKCM,skin,melanoma,4.501224,0.784369
AMO-1,MM,blood,haematopoietic_neoplasm_other,4.563037,0.957321
WSU-DLCL2,DLBC,blood,B_cell_lymphoma,4.575442,0.964826
HO-1-u-1,HNSC,aero_digestive_tract,head_and_neck,4.581850,0.916052
Hep3B2-1-7,LIHC,digestive_system,liver,4.647324,0.830472
CP50-MEL-B,SKCM,skin,melanoma,4.657174,0.816186
SUP-T1,ALL,blood,lymphoblastic_T_cell_leukaemia,4.673552,0.918396
KMS-11,MM,blood,myeloma,4.687712,0.827653
A704,KIRC,kidney,kidney,4.700892,0.912053
PF-382,ALL,blood,lymphoblastic_T_cell_leukaemia,4.703382,0.945141
P31-FUJ,LAML,blood,acute_myeloid_leukaemia,4.709833,0.938746
CAL-51,BRCA,breast,breast,4.737313,0.838590
MHH-PREB-1,UNCLASSIFIED,blood,B_cell_leukemia,4.775401,0.957084
SAS,HNSC,aero_digestive_tract,head_and_neck,4.812069,0.917718
Hs-683,LGG,nervous_system,glioma,4.878814,0.819622
QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,4.895029,0.856984
MS-1,SCLC,lung,lung_small_cell_carcinoma,4.972926,0.950989
HCC1419,BRCA,breast,breast,5.003163,0.858388
OCI-AML2,LAML,blood,acute_myeloid_leukaemia,5.023694,0.973001
IMR-5,NB,nervous_system,neuroblastoma,5.025397,0.966367
COR-L279,SCLC,lung,lung_small_cell_carcinoma,5.042403,0.945437
A204,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,5.048498,0.894626
SBC-5,SCLC,lung,lung_small_cell_carcinoma,5.049282,0.946767
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,5.086562,0.950808
HuO9,UNCLASSIFIED,bone,osteosarcoma,5.092032,0.937879
BC-1,DLBC,blood,B_cell_lymphoma,5.104696,0.963463
SKM-1,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,5.130316,0.856481
SU-DHL-8,DLBC,blood,B_cell_lymphoma,5.130918,0.981284
DND-41,ALL,blood,T_cell_leukemia,5.157386,0.974279
ES8,UNCLASSIFIED,bone,ewings_sarcoma,5.198280,0.958712
NCI-H2171,SCLC,lung,lung_small_cell_carcinoma,5.235219,0.868583
OCUB-M,BRCA,breast,breast,5.241888,0.867597
Farage,DLBC,blood,B_cell_lymphoma,5.242943,0.862957
MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,5.250198,0.987403
MOLT-13,ALL,blood,lymphoblastic_T_cell_leukaemia,5.286460,0.963577
WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,5.322195,0.956783
JJN-3,MM,blood,haematopoietic_neoplasm_other,5.371683,0.969125
EB-3,UNCLASSIFIED,blood,Burkitt_lymphoma,5.466313,0.925241
NB(TU)1-10,NB,nervous_system,neuroblastoma,5.485433,0.937993
GI-1,LGG,nervous_system,glioma,5.504192,0.948975
COLO-783,SKCM,skin,melanoma,5.531919,0.817636
BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,5.573463,0.852549
RH-41,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,5.605017,0.955464
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,5.628115,0.954880
KMS-12-BM,MM,blood,myeloma,5.639033,0.973434
RKO,COREAD,digestive_system,large_intestine,5.658938,0.941205
SNU-1,STAD,digestive_system,stomach,5.659624,0.942954
GAK,SKCM,skin,melanoma,5.695409,0.934995
RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,5.720333,0.966489
ESS-1,UNCLASSIFIED,urogenital_system,endometrium,5.721554,0.951066
D-336MG,LGG,nervous_system,glioma,5.784549,0.819840
SNU-16,STAD,digestive_system,stomach,5.816909,0.963806
SK-MEL-28,SKCM,skin,melanoma,5.818304,0.809717
NB14,NB,nervous_system,neuroblastoma,5.879822,0.960572
