"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
CTV-1,LAML,blood,acute_myeloid_leukaemia,0.064188,0.385030
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,0.155577,0.534418
ALL-SIL,ALL,blood,T_cell_leukemia,0.188263,0.569837
EM-2,LCML,blood,chronic_myeloid_leukaemia,0.294271,0.624834
NCI-H1648,LUAD,lung,lung_NSCLC_adenocarcinoma,0.319159,0.634406
MY-M12,ALL,blood,leukemia,0.338295,0.651613
TE-12,ESCA,aero_digestive_tract,oesophagus,0.344062,0.636862
MEG-01,LCML,blood,chronic_myeloid_leukaemia,0.348722,0.657448
TE-15,ESCA,aero_digestive_tract,oesophagus,0.349126,0.649571
LB996-RCC,KIRC,kidney,kidney,0.478756,0.696184
KCL-22,LCML,blood,chronic_myeloid_leukaemia,0.492518,0.729101
BV-173,LCML,blood,chronic_myeloid_leukaemia,0.565287,0.733666
D-336MG,LGG,nervous_system,glioma,0.568511,0.716142
NCCIT,-,urogenital_system,testis,0.596385,0.749174
NOS-1,UNCLASSIFIED,bone,osteosarcoma,0.716070,0.734785
SUP-B15,ALL,blood,lymphoblastic_leukemia,0.731311,0.766337
K-562,LCML,blood,chronic_myeloid_leukaemia,0.868630,0.781094
Farage,DLBC,blood,B_cell_lymphoma,0.886818,0.816110
KGN,UNCLASSIFIED,urogenital_system,ovary,0.897674,0.772348
A704,KIRC,kidney,kidney,0.935132,0.804396
TE-8,ESCA,aero_digestive_tract,oesophagus,0.984285,0.785504
NCI-H1436,SCLC,lung,lung_small_cell_carcinoma,0.988376,0.780699
LB1047-RCC,KIRC,kidney,kidney,0.988776,0.786260
SU-DHL-6,DLBC,blood,B_cell_lymphoma,1.017141,0.856487
BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,1.024847,0.806266
NB69,NB,nervous_system,neuroblastoma,1.096295,0.830383
EW-16,UNCLASSIFIED,bone,ewings_sarcoma,1.196296,0.820602
TGBC24TKB,UNCLASSIFIED,digestive_system,biliary_tract,1.254400,0.828409
TK10,KIRC,kidney,kidney,1.306966,0.809925
KS-1,GBM,nervous_system,glioma,1.321786,0.798110
TE-11,ESCA,aero_digestive_tract,oesophagus,1.343695,0.845992
TE-1,ESCA,aero_digestive_tract,oesophagus,1.390914,0.812310
KALS-1,LGG,nervous_system,glioma,1.439649,0.792688
GI-1,LGG,nervous_system,glioma,1.453549,0.858303
SW872,UNCLASSIFIED,soft_tissue,soft_tissue_other,1.474606,0.859545
TE-10,ESCA,aero_digestive_tract,oesophagus,1.500322,0.841863
