"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.003166,0.018133
MV-4-11,UNCLASSIFIED,blood,leukemia,0.003965,0.024484
MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.004198,0.028393
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,0.010398,0.104390
KASUMI-1,LAML,blood,acute_myeloid_leukaemia,0.049864,0.248609
NKM-1,LAML,blood,acute_myeloid_leukaemia,0.125789,0.382070
GDM-1,LAML,blood,acute_myeloid_leukaemia,0.139378,0.394797
DOV13,OV,urogenital_system,ovary,0.531171,0.567701
ALL-PO,ALL,blood,lymphoblastic_leukemia,0.746053,0.619842
COLO-320-HSR,COREAD,digestive_system,large_intestine,0.871333,0.635446
HSC-39,STAD,digestive_system,stomach,0.978156,0.659133
G-402,UNCLASSIFIED,soft_tissue,soft_tissue_other,1.218983,0.657052
NB6,NB,nervous_system,neuroblastoma,1.343415,0.678041
RCH-ACV,UNCLASSIFIED,blood,B_cell_leukemia,1.498160,0.715469
NCI-H1703,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,1.655115,0.701331
ALL-SIL,ALL,blood,T_cell_leukemia,1.683113,0.727441
HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,1.749075,0.723206
KMOE-2,LAML,blood,acute_myeloid_leukaemia,1.825961,0.732010
U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,1.837724,0.731069
QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,1.877698,0.744584
HL-60,LAML,blood,acute_myeloid_leukaemia,1.910385,0.735514
JJN-3,MM,blood,haematopoietic_neoplasm_other,1.911176,0.745952
P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,1.940295,0.758487
SNU-16,STAD,digestive_system,stomach,1.945807,0.742739
NCI-H716,COREAD,digestive_system,large_intestine,2.109347,0.710308
OCI-AML2,LAML,blood,acute_myeloid_leukaemia,2.123344,0.763362
OCI-LY7,DLBC,blood,B_cell_lymphoma,2.227036,0.770484
A2780,UNCLASSIFIED,urogenital_system,ovary,2.296250,0.728867
PF-382,ALL,blood,lymphoblastic_T_cell_leukaemia,2.301117,0.755214
HMV-II,SKCM,skin,melanoma,2.338358,0.717466
KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,2.346427,0.769846
HCC2218,BRCA,breast,breast,2.393264,0.758660
KMS-12-BM,MM,blood,myeloma,2.395110,0.776393
P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,2.421125,0.773053
EM-2,LCML,blood,chronic_myeloid_leukaemia,2.463392,0.768247
MOLT-13,ALL,blood,lymphoblastic_T_cell_leukaemia,2.465929,0.773949
A3-KAW,DLBC,blood,B_cell_lymphoma,2.475191,0.780703
DU-4475,BRCA,breast,breast,2.506524,0.782406
OCUB-M,BRCA,breast,breast,2.510258,0.762262
NCI-H1581,UNCLASSIFIED,lung,lung_NSCLC_large_cell,2.538605,0.757105
NB4,LAML,blood,acute_myeloid_leukaemia,2.561377,0.790389
SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,2.616797,0.798960
DOHH-2,DLBC,blood,B_cell_lymphoma,2.655726,0.807148
JiyoyeP-2003,UNCLASSIFIED,blood,Burkitt_lymphoma,2.728146,0.775138
BV-173,LCML,blood,chronic_myeloid_leukaemia,2.746384,0.776289
BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,2.764752,0.795416
SIG-M5,LAML,blood,acute_myeloid_leukaemia,2.784205,0.807710
MC-IXC,NB,nervous_system,neuroblastoma,2.819300,0.779404
JSC-1,DLBC,blood,B_cell_lymphoma,2.880734,0.785154
NCI-H209,SCLC,lung,lung_small_cell_carcinoma,2.890730,0.778182
KG-1,LAML,blood,acute_myeloid_leukaemia,2.942027,0.786378
NCI-H1963,SCLC,lung,lung_small_cell_carcinoma,2.942046,0.773756
NU-DUL-1,DLBC,blood,B_cell_lymphoma,2.990804,0.800096
OCI-AML3,LAML,blood,acute_myeloid_leukaemia,3.031451,0.782956
DB,DLBC,blood,B_cell_lymphoma,3.070896,0.774701
KU812,LCML,blood,chronic_myeloid_leukaemia,3.072251,0.781812
SUP-B8,UNCLASSIFIED,blood,B_cell_leukemia,3.073803,0.811582
SU-DHL-4,DLBC,blood,B_cell_lymphoma,3.140304,0.809534
HCC2157,BRCA,breast,breast,3.142397,0.793769
NCI-H2081,SCLC,lung,lung_small_cell_carcinoma,3.224706,0.764319
CRO-AP2,DLBC,blood,B_cell_lymphoma,3.227680,0.809548
KM-H2,UNCLASSIFIED,blood,Hodgkin_lymphoma,3.231205,0.798830
CAL-51,BRCA,breast,breast,3.236155,0.767429
ECC10,UNCLASSIFIED,digestive_system,stomach,3.328392,0.795979
MRK-nu-1,BRCA,breast,breast,3.328525,0.806295
D-423MG,GBM,nervous_system,glioma,3.360699,0.782571
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,3.377910,0.813537
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,3.379709,0.800080
KY821,LAML,blood,leukemia,3.381407,0.805912
MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,3.402374,0.833520
NK-92MI,UNCLASSIFIED,blood,lymphoid_neoplasm_other,3.412647,0.828787
NCI-H2342,LUAD,lung,lung_NSCLC_adenocarcinoma,3.413185,0.763117
NB12,NB,nervous_system,neuroblastoma,3.438389,0.770121
NCI-H146,SCLC,lung,lung_small_cell_carcinoma,3.448973,0.779383
SNU-1,STAD,digestive_system,stomach,3.501627,0.792299
KARPAS-45,ALL,blood,lymphoblastic_leukemia,3.542218,0.820570
NB14,NB,nervous_system,neuroblastoma,3.597973,0.810810
HT-144,SKCM,skin,melanoma,3.625736,0.786846
NCI-H526,SCLC,lung,lung_small_cell_carcinoma,3.633532,0.810601
NCI-H1648,LUAD,lung,lung_NSCLC_adenocarcinoma,3.640648,0.772761
SU-DHL-5,DLBC,blood,B_cell_lymphoma,3.640977,0.844307
JAR,UNCLASSIFIED,urogenital_system,urogenital_system_other,3.645865,0.806381
Hep3B2-1-7,LIHC,digestive_system,liver,3.651971,0.806127
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,3.658022,0.827048
LS-411N,COREAD,digestive_system,large_intestine,3.692064,0.763440
KMS-11,MM,blood,myeloma,3.822750,0.807429
KE-37,ALL,blood,lymphoblastic_leukemia,3.837210,0.836519
LP-1,MM,blood,myeloma,3.883022,0.796183
SUP-B15,ALL,blood,lymphoblastic_leukemia,3.885001,0.834986
NCI-H810,UNCLASSIFIED,lung,lung_NSCLC_large_cell,3.923570,0.780950
WM35,SKCM,skin,melanoma,3.941947,0.783622
EVSA-T,BRCA,breast,breast,3.991385,0.819905
A204,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,4.012782,0.765880
BE-13,ALL,blood,lymphoblastic_leukemia,4.032708,0.808862
RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,4.060614,0.835934
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,4.079544,0.838732
CESS,LAML,blood,acute_myeloid_leukaemia,4.127139,0.821326
HuH-7,LIHC,digestive_system,liver,4.175585,0.781266
OVK-18,OV,urogenital_system,ovary,4.193164,0.784210
RC-K8,DLBC,blood,B_cell_lymphoma,4.195395,0.797498
P30-OHK,ALL,blood,lymphoblastic_leukemia,4.210430,0.847229
A427,UNCLASSIFIED,lung,lung_NSCLC_not_specified,4.221470,0.817651
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,4.243699,0.850125
JVM-3,CLL,blood,lymphoid_neoplasm_other,4.247025,0.816489
TC-YIK,UNCLASSIFIED,urogenital_system,cervix,4.273816,0.816751
K-562,LCML,blood,chronic_myeloid_leukaemia,4.282447,0.811684
SCC-25,HNSC,aero_digestive_tract,head_and_neck,4.283831,0.809904
CML-T1,LCML,blood,chronic_myeloid_leukaemia,4.283926,0.841458
DMS-53,SCLC,lung,lung_small_cell_carcinoma,4.287236,0.796684
KU-19-19,BLCA,urogenital_system,bladder,4.305366,0.809883
LNCaP-Clone-FGC,PRAD,urogenital_system,prostate,4.341596,0.788961
ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,4.359668,0.842064
NCI-H211,SCLC,lung,lung_small_cell_carcinoma,4.359690,0.824483
COR-L105,LUAD,lung,lung_NSCLC_adenocarcinoma,4.361491,0.755370
CP50-MEL-B,SKCM,skin,melanoma,4.365276,0.810065
ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,4.413194,0.829122
JM1,DLBC,blood,B_cell_lymphoma,4.413400,0.861574
Ca9-22,HNSC,aero_digestive_tract,head_and_neck,4.430445,0.804327
BC-1,DLBC,blood,B_cell_lymphoma,4.432442,0.840998
A4-Fuk,DLBC,blood,B_cell_lymphoma,4.462708,0.829558
UACC-893,BRCA,breast,breast,4.470542,0.800152
Raji,UNCLASSIFIED,blood,Burkitt_lymphoma,4.494488,0.839374
C-33-A,CESC,urogenital_system,cervix,4.499782,0.804645
G-MEL,SKCM,skin,melanoma,4.579028,0.839430
L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,4.594559,0.837735
KELLY,NB,nervous_system,neuroblastoma,4.601870,0.840822
MDA-MB-468,BRCA,breast,breast,4.647388,0.802275
RS4-11,ALL,blood,leukemia,4.658009,0.850255
RL,DLBC,blood,B_cell_lymphoma,4.675531,0.826963
Jurkat,ALL,blood,T_cell_leukemia,4.696406,0.846504
SU-DHL-10,DLBC,blood,B_cell_lymphoma,4.706978,0.864742
DND-41,ALL,blood,T_cell_leukemia,4.715789,0.858708
MEG-01,LCML,blood,chronic_myeloid_leukaemia,4.720014,0.822637
NCI-H835,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,4.745564,0.824384
BC-3,DLBC,blood,B_cell_lymphoma,4.771354,0.866710
NCI-H82,SCLC,lung,lung_small_cell_carcinoma,4.780972,0.835496
NCI-H2171,SCLC,lung,lung_small_cell_carcinoma,4.787685,0.859311
