"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.419907,0.554485
OCI-LY7,DLBC,blood,B_cell_lymphoma,0.558254,0.580771
SUP-B15,ALL,blood,lymphoblastic_leukemia,0.599138,0.602950
JVM-3,CLL,blood,lymphoid_neoplasm_other,0.607126,0.598438
SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.623819,0.608649
OCI-LY-19,DLBC,blood,B_cell_lymphoma,0.628861,0.595300
DOHH-2,DLBC,blood,B_cell_lymphoma,0.678950,0.610568
MV-4-11,UNCLASSIFIED,blood,leukemia,0.696665,0.624293
CRO-AP2,DLBC,blood,B_cell_lymphoma,0.713566,0.613734
BC-1,DLBC,blood,B_cell_lymphoma,0.736438,0.629002
NKM-1,LAML,blood,acute_myeloid_leukaemia,0.813172,0.631841
LC4-1,ALL,blood,lymphoblastic_leukemia,0.972160,0.664659
HC-1,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.993368,0.662506
IM-9,MM,blood,myeloma,1.003543,0.670355
MOLT-4,ALL,blood,lymphoblastic_leukemia,1.009911,0.672546
MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,1.126866,0.692413
RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,1.175459,0.673988
OCI-AML2,LAML,blood,acute_myeloid_leukaemia,1.199451,0.696994
BV-173,LCML,blood,chronic_myeloid_leukaemia,1.200779,0.686574
HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,1.311183,0.687604
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,1.323279,0.708651
CHP-126,NB,nervous_system,neuroblastoma,1.360362,0.673537
RCH-ACV,UNCLASSIFIED,blood,B_cell_leukemia,1.384368,0.704960
Hs-445,UNCLASSIFIED,blood,Hodgkin_lymphoma,1.452908,0.707533
GDM-1,LAML,blood,acute_myeloid_leukaemia,1.453373,0.701008
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,1.454098,0.723470
BONNA-12,-,blood,hairy_cell_leukaemia,1.455487,0.697280
OCI-AML5,LAML,blood,acute_myeloid_leukaemia,1.469752,0.711228
SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,1.479683,0.729545
A3-KAW,DLBC,blood,B_cell_lymphoma,1.498867,0.724885
RS4-11,ALL,blood,leukemia,1.500227,0.723411
H4,LGG,nervous_system,glioma,1.522861,0.709942
JVM-2,CLL,blood,lymphoid_neoplasm_other,1.523967,0.698627
ML-2,LAML,blood,acute_myeloid_leukaemia,1.533951,0.722699
CESS,LAML,blood,acute_myeloid_leukaemia,1.695100,0.729231
NEC8,UNCLASSIFIED,urogenital_system,testis,1.778260,0.747964
AMO-1,MM,blood,haematopoietic_neoplasm_other,1.881401,0.748371
DU-4475,BRCA,breast,breast,2.028126,0.762674
NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,2.051666,0.753751
CHP-134,NB,nervous_system,neuroblastoma,2.057980,0.746150
VAL,DLBC,blood,B_cell_lymphoma,2.087114,0.745102
KARPAS-1106P,DLBC,blood,B_cell_lymphoma,2.096136,0.758418
SJSA-1,UNCLASSIFIED,bone,bone_other,2.122309,0.722722
KYM-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,2.125043,0.749165
SW982,UNCLASSIFIED,soft_tissue,soft_tissue_other,2.147963,0.729560
LNCaP-Clone-FGC,PRAD,urogenital_system,prostate,2.162283,0.728983
SU-DHL-5,DLBC,blood,B_cell_lymphoma,2.188667,0.783440
JSC-1,DLBC,blood,B_cell_lymphoma,2.198226,0.761441
NCI-H460,UNCLASSIFIED,lung,lung_NSCLC_large_cell,2.227053,0.737876
NB17,NB,nervous_system,neuroblastoma,2.246501,0.755023
MHH-CALL-4,-,blood,B_cell_leukemia,2.250304,0.747176
MY-M12,ALL,blood,leukemia,2.339279,0.772486
MHH-NB-11,NB,nervous_system,neuroblastoma,2.345775,0.759334
TE-441-T,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,2.355980,0.735238
OCUM-1,STAD,digestive_system,stomach,2.357871,0.719505
HAL-01,ALL,blood,lymphoblastic_leukemia,2.425735,0.776792
DK-MG,GBM,nervous_system,glioma,2.428846,0.724665
NCI-H929,MM,blood,myeloma,2.448043,0.771852
IMR-5,NB,nervous_system,neuroblastoma,2.465420,0.784406
