"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
OCI-LY7,DLBC,blood,B_cell_lymphoma,0.000758,0.018077
OCI-AML2,LAML,blood,acute_myeloid_leukaemia,0.002595,0.257295
DU-4475,BRCA,breast,breast,0.003489,0.289097
CHP-212,NB,nervous_system,neuroblastoma,0.004014,0.316504
G-MEL,SKCM,skin,melanoma,0.004406,0.315747
CP50-MEL-B,SKCM,skin,melanoma,0.006243,0.198217
NB4,LAML,blood,acute_myeloid_leukaemia,0.007478,0.176442
OCUM-1,STAD,digestive_system,stomach,0.008218,0.395598
IPC-298,SKCM,skin,melanoma,0.009008,0.243604
SKM-1,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.009398,0.394958
OCI-AML3,LAML,blood,acute_myeloid_leukaemia,0.010118,0.404840
UACC-62,SKCM,skin,melanoma,0.010557,0.413352
KMOE-2,LAML,blood,acute_myeloid_leukaemia,0.010763,0.410239
M14,SKCM,skin,melanoma,0.010820,0.538749
IGR-37,SKCM,skin,melanoma,0.011402,0.418725
SK-MEL-28,SKCM,skin,melanoma,0.013208,0.296401
SH-4,SKCM,skin,melanoma,0.013465,0.439054
C32,SKCM,skin,melanoma,0.013584,0.438624
LB2518-MEL,SKCM,skin,melanoma,0.014616,0.294610
K2,SKCM,skin,melanoma,0.014868,0.310723
IM-9,MM,blood,myeloma,0.015840,0.450872
NB69,NB,nervous_system,neuroblastoma,0.017451,0.463555
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.019919,0.475398
CP66-MEL,SKCM,skin,melanoma,0.021053,0.483301
COLO-679,SKCM,skin,melanoma,0.021720,0.486249
ML-2,LAML,blood,acute_myeloid_leukaemia,0.021965,0.486085
A375,SKCM,skin,melanoma,0.023937,0.495541
MEL-HO,SKCM,skin,melanoma,0.024957,0.358051
SK-MEL-1,SKCM,skin,melanoma,0.026113,0.504247
NOMO-1,LAML,blood,acute_myeloid_leukaemia,0.026299,0.505351
KU812,LCML,blood,chronic_myeloid_leukaemia,0.026760,0.507123
KY821,LAML,blood,leukemia,0.027839,0.511476
COLO-800,SKCM,skin,melanoma,0.029450,0.378085
JURL-MK1,LCML,blood,chronic_myeloid_leukaemia,0.030083,0.519840
HL-60,LAML,blood,acute_myeloid_leukaemia,0.030159,0.519928
MZ7-mel,SKCM,skin,melanoma,0.032156,0.387247
KMH-2,THCA,thyroid,thyroid,0.033792,0.386213
451Lu,SKCM,skin,melanoma,0.035012,0.398490
WM35,SKCM,skin,melanoma,0.036988,0.539387
LS-513,COREAD,digestive_system,large_intestine,0.039801,0.546605
COLO-205,COREAD,digestive_system,large_intestine,0.042273,0.552444
HT-144,SKCM,skin,melanoma,0.042601,0.554788
CL-11,COREAD,digestive_system,large_intestine,0.044223,0.550381
Hs-939-T,SKCM,skin,melanoma,0.046846,0.438976
MDST8,COREAD,digestive_system,large_intestine,0.050150,0.571427
SCC90,HNSC,aero_digestive_tract,head_and_neck,0.050170,0.566796
BHT-101,THCA,thyroid,thyroid,0.055136,0.580629
AGS,STAD,digestive_system,stomach,0.055236,0.581682
HCC2998,COREAD,digestive_system,large_intestine,0.056108,0.584693
NCI-H747,COREAD,digestive_system,large_intestine,0.061334,0.580422
K5,THCA,thyroid,thyroid,0.061639,0.590010
EBC-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.063380,0.591271
UACC-257,SKCM,skin,melanoma,0.063612,0.589291
MMAc-SF,SKCM,skin,melanoma,0.064017,0.474438
NCI-H2291,LUAD,lung,lung_NSCLC_adenocarcinoma,0.066045,0.482334
KU-19-19,BLCA,urogenital_system,bladder,0.066858,0.601909
NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,0.068921,0.606355
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.070654,0.612323
HMV-II,SKCM,skin,melanoma,0.072641,0.602290
SW620,COREAD,digestive_system,large_intestine,0.073323,0.602142
COLO-783,SKCM,skin,melanoma,0.078417,0.498964
G-361,SKCM,skin,melanoma,0.080174,0.618185
LU-65,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.085813,0.615466
HT-29,COREAD,digestive_system,large_intestine,0.087546,0.622239
NCI-H727,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,0.092412,0.620656
SK-MEL-30,SKCM,skin,melanoma,0.094447,0.521815
SK-CO-1,COREAD,digestive_system,large_intestine,0.095141,0.633190
NCI-H2135,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.097081,0.615406
GAK,SKCM,skin,melanoma,0.103449,0.644984
WM278,SKCM,skin,melanoma,0.103716,0.631282
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,0.114542,0.663016
CAL-39,CESC,urogenital_system,cervix,0.116961,0.655643
MV-4-11,UNCLASSIFIED,blood,leukemia,0.117050,0.666596
NB(TU)1-10,NB,nervous_system,neuroblastoma,0.117294,0.658803
JHOS-3,OV,urogenital_system,ovary,0.125201,0.550805
MZ2-MEL,SKCM,skin,melanoma,0.125206,0.557416
OCI-AML5,LAML,blood,acute_myeloid_leukaemia,0.129021,0.675682
LS-411N,COREAD,digestive_system,large_intestine,0.133008,0.659746
HT55,COREAD,digestive_system,large_intestine,0.136618,0.663319
COLO-829,SKCM,skin,melanoma,0.140641,0.648434
A549,LUAD,lung,lung_NSCLC_adenocarcinoma,0.141133,0.667383
DOK,HNSC,aero_digestive_tract,head_and_neck,0.142701,0.668471
ONS-76,MB,nervous_system,medulloblastoma,0.143190,0.670014
PL-21,LAML,blood,acute_myeloid_leukaemia,0.148957,0.584112
OCI-M1,LAML,blood,acute_myeloid_leukaemia,0.157354,0.696377
PSN1,PAAD,pancreas,pancreas,0.162125,0.678678
KASUMI-1,LAML,blood,acute_myeloid_leukaemia,0.165798,0.702043
NCI-H322M,LUAD,lung,lung_NSCLC_adenocarcinoma,0.168719,0.679204
BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,0.168914,0.602803
A101D,SKCM,skin,melanoma,0.176046,0.688196
AM-38,GBM,nervous_system,glioma,0.178170,0.695139
SNU-5,STAD,digestive_system,stomach,0.178381,0.700611
IGROV-1,OV,urogenital_system,ovary,0.180375,0.685223
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,0.181977,0.707645
BPH-1,UNCLASSIFIED,urogenital_system,prostate,0.192973,0.692616
