"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
SNU-5,STAD,digestive_system,stomach,0.116647,0.489775
LB2241-RCC,KIRC,kidney,kidney,0.162311,0.539634
KINGS-1,LGG,nervous_system,glioma,0.203918,0.567580
ALL-PO,ALL,blood,lymphoblastic_leukemia,0.493555,0.705022
SK-LMS-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.583444,0.738659
ES1,UNCLASSIFIED,bone,ewings_sarcoma,1.278541,0.818429
EW-22,UNCLASSIFIED,bone,ewings_sarcoma,1.282112,0.844280
BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,1.415784,0.899954
MV-4-11,UNCLASSIFIED,blood,leukemia,1.439002,0.863275
TE-441-T,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,1.882579,0.876016
DOHH-2,DLBC,blood,B_cell_lymphoma,2.095988,0.901606
SUP-T1,ALL,blood,lymphoblastic_T_cell_leukaemia,2.213803,0.890380
BE-13,ALL,blood,lymphoblastic_leukemia,2.481491,0.894234
KYM-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,2.541226,0.911632
NCI-H1770,UNCLASSIFIED,lung,lung_NSCLC_not_specified,2.803950,0.907451
PSN1,PAAD,pancreas,pancreas,2.892545,0.934013
ALL-SIL,ALL,blood,T_cell_leukemia,2.999247,0.936138
ES-2,UNCLASSIFIED,urogenital_system,ovary,3.042972,0.920261
NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,3.091897,0.942398
IMR-5,NB,nervous_system,neuroblastoma,3.120764,0.930989
Becker,GBM,nervous_system,glioma,3.142153,0.897307
NOS-1,UNCLASSIFIED,bone,osteosarcoma,3.293513,0.881175
A498,KIRC,kidney,kidney,3.413897,0.852096
NCI-H2171,SCLC,lung,lung_small_cell_carcinoma,3.512832,0.951883
GI-1,LGG,nervous_system,glioma,3.692369,0.935278
ES6,UNCLASSIFIED,bone,ewings_sarcoma,3.791793,0.897122
MRK-nu-1,BRCA,breast,breast,3.847850,0.912567
KARPAS-45,ALL,blood,lymphoblastic_leukemia,3.856327,0.951680
RS4-11,ALL,blood,leukemia,4.244758,0.935104
KM12,COREAD,digestive_system,large_intestine,4.525194,0.918410
SU-DHL-4,DLBC,blood,B_cell_lymphoma,4.596155,0.993422
ETK-1,UNCLASSIFIED,digestive_system,biliary_tract,4.670905,0.927206
EW-16,UNCLASSIFIED,bone,ewings_sarcoma,4.678982,0.932893
EB2,UNCLASSIFIED,blood,Burkitt_lymphoma,4.699230,0.954715
IST-SL2,SCLC,lung,lung_small_cell_carcinoma,4.731172,0.923930
NEC8,UNCLASSIFIED,urogenital_system,testis,4.885293,0.963369
P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,4.937810,0.985787
NCI-H64,SCLC,lung,lung_small_cell_carcinoma,5.035778,0.976843
OCI-AML5,LAML,blood,acute_myeloid_leukaemia,5.153297,0.956028
