"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
OCI-LY7,DLBC,blood,B_cell_lymphoma,0.061559,0.270939
SK-MEL-28,SKCM,skin,melanoma,0.128079,0.394033
CP50-MEL-B,SKCM,skin,melanoma,0.162753,0.414608
G-MEL,SKCM,skin,melanoma,0.275031,0.480693
Hs-939-T,SKCM,skin,melanoma,0.319411,0.501140
DU-4475,BRCA,breast,breast,0.396845,0.532020
UACC-62,SKCM,skin,melanoma,0.613479,0.580671
MEL-HO,SKCM,skin,melanoma,0.656119,0.590697
451Lu,SKCM,skin,melanoma,0.662015,0.592153
M14,SKCM,skin,melanoma,0.707535,0.598812
IGR-37,SKCM,skin,melanoma,0.723629,0.605803
COLO-800,SKCM,skin,melanoma,0.833861,0.619697
A375,SKCM,skin,melanoma,0.890848,0.627612
K2,SKCM,skin,melanoma,0.942806,0.626176
C32,SKCM,skin,melanoma,1.036315,0.642484
HT-144,SKCM,skin,melanoma,1.068309,0.651774
COLO-679,SKCM,skin,melanoma,1.184893,0.649813
SH-4,SKCM,skin,melanoma,1.243982,0.657814
MMAc-SF,SKCM,skin,melanoma,1.456295,0.679527
COLO-783,SKCM,skin,melanoma,1.537082,0.689193
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,1.646746,0.716916
NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,1.772196,0.705482
COLO-205,COREAD,digestive_system,large_intestine,1.892250,0.707342
COLO-829,SKCM,skin,melanoma,1.964170,0.675274
Hs-633T,UNCLASSIFIED,soft_tissue,fibrosarcoma,2.280335,0.752151
NB6,NB,nervous_system,neuroblastoma,2.432320,0.744463
SUP-B8,UNCLASSIFIED,blood,B_cell_leukemia,2.442534,0.782919
MZ7-mel,SKCM,skin,melanoma,2.467987,0.746419
WM278,SKCM,skin,melanoma,2.697529,0.721002
G-361,SKCM,skin,melanoma,3.146970,0.768878
JVM-3,CLL,blood,lymphoid_neoplasm_other,3.287590,0.790350
K5,THCA,thyroid,thyroid,3.493628,0.770234
SW982,UNCLASSIFIED,soft_tissue,soft_tissue_other,3.702389,0.775791
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,3.810807,0.837312
A101D,SKCM,skin,melanoma,3.879489,0.774101
HTC-C3,THCA,thyroid,thyroid,4.163312,0.780189
OCI-LY-19,DLBC,blood,B_cell_lymphoma,4.213841,0.834699
