"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
HCC-827,LUAD,lung,lung_NSCLC_adenocarcinoma,0.065134,0.503100
PC-14,LUAD,lung,lung_NSCLC_adenocarcinoma,0.114672,0.477761
PC-3_[JPC-3],LUAD,lung,lung_NSCLC_adenocarcinoma,0.212433,0.629949
DOK,HNSC,aero_digestive_tract,head_and_neck,0.252482,0.659414
DiFi,COREAD,digestive_system,large_intestine,0.269111,0.671867
NCI-H322M,LUAD,lung,lung_NSCLC_adenocarcinoma,0.296561,0.670228
CAL-39,CESC,urogenital_system,cervix,0.337820,0.702745
OVCA420,OV,urogenital_system,ovary,0.359542,0.689055
SK-GT-2,STAD,digestive_system,stomach,0.494986,0.744718
CCK-81,COREAD,digestive_system,large_intestine,0.543159,0.760922
COR-L105,LUAD,lung,lung_NSCLC_adenocarcinoma,0.617135,0.725865
NB6,NB,nervous_system,neuroblastoma,0.642655,0.589014
BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,0.664215,0.600516
EC-GI-10,ESCA,aero_digestive_tract,oesophagus,0.721397,0.786123
TE-6,ESCA,aero_digestive_tract,oesophagus,0.744641,0.762225
P30-OHK,ALL,blood,lymphoblastic_leukemia,0.756230,0.835072
KYSE-520,ESCA,aero_digestive_tract,oesophagus,0.837455,0.744900
KYSE-450,ESCA,aero_digestive_tract,oesophagus,0.844537,0.784853
SIG-M5,LAML,blood,acute_myeloid_leukaemia,0.896294,0.649880
Ca9-22,HNSC,aero_digestive_tract,head_and_neck,0.908236,0.806622
NCI-H1648,LUAD,lung,lung_NSCLC_adenocarcinoma,0.909224,0.793186
CTB-1,DLBC,blood,B_cell_lymphoma,0.915171,0.624683
NUGC-3,STAD,digestive_system,stomach,0.944017,0.788888
IGROV-1,OV,urogenital_system,ovary,0.984483,0.784277
SW48,COREAD,digestive_system,large_intestine,1.005093,0.793045
CAL-54,KIRC,kidney,kidney,1.018306,0.783989
T-T,ESCA,aero_digestive_tract,oesophagus,1.052539,0.829273
NCI-H1568,LUAD,lung,lung_NSCLC_adenocarcinoma,1.056721,0.776638
ACHN,KIRC,kidney,kidney,1.068302,0.785787
JHU-029,HNSC,aero_digestive_tract,head_and_neck,1.070297,0.650686
OVMIU,OV,urogenital_system,ovary,1.076662,0.764145
NCI-H3118,UNCLASSIFIED,aero_digestive_tract,head_and_neck,1.110005,0.805541
BPH-1,UNCLASSIFIED,urogenital_system,prostate,1.136896,0.799236
NCI-H508,COREAD,digestive_system,large_intestine,1.140120,0.650832
MDA-MB-175-VII,BRCA,breast,breast,1.148002,0.752864
MOLM-13,LAML,blood,acute_myeloid_leukaemia,1.182520,0.881647
NCI-H1666,LUAD,lung,lung_NSCLC_adenocarcinoma,1.293609,0.774770
JiyoyeP-2003,UNCLASSIFIED,blood,Burkitt_lymphoma,1.356969,0.865871
TE-1,ESCA,aero_digestive_tract,oesophagus,1.368714,0.813639
NCI-H292,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,1.376144,0.673939
H3255,LUAD,lung,lung_NSCLC_adenocarcinoma,1.384553,0.647231
HDQ-P1,BRCA,breast,breast,1.424356,0.830525
LOU-NH91,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,1.488325,0.827558
HSC-3,HNSC,aero_digestive_tract,head_and_neck,1.533520,0.857067
HO-1-u-1,HNSC,aero_digestive_tract,head_and_neck,1.534733,0.845796
