"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
NCI-N87,STAD,digestive_system,stomach,0.071405,0.348872
MDA-MB-175-VII,BRCA,breast,breast,0.168677,0.442002
TE-4,ESCA,aero_digestive_tract,oesophagus,0.253189,0.470430
OE19,ESCA,aero_digestive_tract,oesophagus,0.288464,0.489326
NCI-H508,COREAD,digestive_system,large_intestine,0.307889,0.496760
HCC2218,BRCA,breast,breast,0.374826,0.524255
NCI-H2170,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.399874,0.529180
CAL-39,CESC,urogenital_system,cervix,0.400846,0.529671
AU565,BRCA,breast,breast,0.420537,0.538305
DiFi,COREAD,digestive_system,large_intestine,0.421425,0.534927
DSH1,BLCA,urogenital_system,bladder,0.449596,0.541966
CCK-81,COREAD,digestive_system,large_intestine,0.459503,0.547966
UACC-893,BRCA,breast,breast,0.531080,0.565306
SK-GT-2,STAD,digestive_system,stomach,0.532510,0.565169
TE-15,ESCA,aero_digestive_tract,oesophagus,0.561975,0.569200
NCI-H292,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.688911,0.593899
KYAE-1,ESCA,aero_digestive_tract,oesophagus,0.802115,0.621864
HCC2157,BRCA,breast,breast,0.863719,0.636529
EC-GI-10,ESCA,aero_digestive_tract,oesophagus,0.875698,0.627590
ZR-75-30,BRCA,breast,breast,0.879679,0.606304
NCI-H1648,LUAD,lung,lung_NSCLC_adenocarcinoma,0.959756,0.631663
BT-474,BRCA,breast,breast,1.114207,0.636544
BPH-1,UNCLASSIFIED,urogenital_system,prostate,1.119573,0.642267
OVCA420,OV,urogenital_system,ovary,1.158783,0.643564
PCI-15A,HNSC,aero_digestive_tract,head_and_neck,1.252939,0.679733
NCI-H1623,LUAD,lung,lung_NSCLC_adenocarcinoma,1.266963,0.662093
BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,1.289308,0.687501
JHU-029,HNSC,aero_digestive_tract,head_and_neck,1.348301,0.677841
JHU-022,HNSC,aero_digestive_tract,head_and_neck,1.363711,0.645703
IGROV-1,OV,urogenital_system,ovary,1.416095,0.665554
MDA-MB-330,BRCA,breast,breast,1.417690,0.667147
